iter	Passed	Remaining
0	3	345
1	6	319
2	9	304
3	12	304
4	15	290
5	20	321
6	24	325
7	27	312
8	32	327
9	36	331
10	39	321
11	42	315
12	47	318
13	51	314
14	53	305
15	56	299
16	63	312
17	66	304
18	70	298
19	76	305
20	78	296
21	82	291
22	85	286
23	92	292
24	96	289
25	104	297
26	108	292
27	111	286
28	116	285
29	119	278
30	122	272
31	128	272
32	132	269
33	136	264
34	138	257
35	142	254
36	146	249
37	149	243
38	154	241
39	158	237
40	161	232
41	164	227
42	169	224
43	171	218
44	174	212
45	178	209
46	183	206
47	187	202
48	189	197
49	194	194
50	198	190
51	201	186
52	205	182
53	210	179
54	214	175
55	218	171
56	224	169
57	228	165
58	233	162
59	239	159
60	243	155
61	246	150
62	252	148
63	256	144
64	260	140
65	267	137
66	271	133
67	274	129
68	286	128
69	295	126
70	299	122
71	306	119
72	309	114
73	313	110
74	320	106
75	323	102
76	328	98
77	334	94
78	336	89
79	340	85
80	347	81
81	350	77
82	354	72
83	360	68
84	364	64
85	367	59
86	373	55
87	378	51
88	381	47
89	388	43
90	392	38
91	395	34
92	400	30
93	404	25
94	407	21
95	410	17
96	414	12
97	417	8
98	420	4
99	423	0
